year,date,team1,team2,team1_venue,team1_outcome,team1_score,team2_score,team1_history_1,team1_history_2,team1_history_3,team1_history_4,team1_history_5,team1_history_6,team1_history_7,team1_history_8,team1_history_9,team1_history_10,team2_history_1,team2_history_2,team2_history_3,team2_history_4,team2_history_5,team2_history_6,team2_history_7,team2_history_8,team2_history_9,team2_history_10
2013,12/20/12,Pepperdine,Tulane,A,L,54,69,L,L,W,W,W,W,L,W,L,W,L,W,W,W,L,W,W,W,L,W
2013,1/3/13,Pepperdine,Gonzaga,H,L,62,78,L,W,W,W,W,L,W,L,W,L,W,W,W,W,W,L,W,W,W,W
2013,1/10/13,Pepperdine,BYU,A,L,51,76,W,W,W,L,W,L,W,L,L,W,W,W,L,W,W,L,W,W,W,W
2013,1/12/13,Pepperdine,San Diego,H,L,50,62,W,W,L,W,L,W,L,L,W,L,L,L,W,W,L,L,L,W,W,W
2013,1/24/13,Pepperdine,Loyola Marymount,A,W,60,57,L,W,L,W,L,L,W,L,L,L,L,L,W,W,L,L,W,L,L,L
2013,1/31/13,Pepperdine,BYU,H,L,61,63,L,W,L,L,W,L,L,L,W,L,W,W,W,W,W,W,L,W,L,W
2013,2/2/13,Pepperdine,San Francisco,H,L,78,86,W,L,L,W,L,L,L,W,L,L,W,L,L,L,L,L,W,W,L,L
2013,2/7/13,Pepperdine,Gonzaga,A,L,56,82,L,L,W,L,L,L,W,L,L,L,W,W,W,W,W,L,W,W,W,W
2013,2/14/13,Pepperdine,Loyola Marymount,H,W,52,50,W,L,L,L,W,L,L,L,L,W,L,W,L,L,L,L,L,L,L,L
2013,2/23/13,Pepperdine,San Francisco,A,L,58,64,L,L,W,L,L,L,L,W,W,L,L,W,W,L,L,W,W,L,L,W
2013,3/2/13,Pepperdine,San Diego,A,L,69,76,W,L,L,L,L,W,W,L,L,L,L,L,L,W,W,L,L,L,L,L
2013,3/7/13,Pepperdine,San Diego,N,L,59,62,L,L,L,L,W,W,L,L,L,L,L,L,W,W,L,L,L,L,L,W
2013,12/18/12,Middle Tennessee,Tennessee St.,H,W,77,48,W,W,L,W,W,W,L,W,W,L,L,L,L,L,W,L,L,W,W,L
2013,12/21/12,Middle Tennessee,Vanderbilt,N,W,56,52,W,L,W,W,W,L,W,W,L,W,L,W,L,L,L,W,L,W,W,W
2013,12/29/12,Middle Tennessee,FIU,H,W,69,52,L,W,W,W,L,W,W,L,W,W,L,L,W,W,L,W,L,L,W,L
2013,1/3/13,Middle Tennessee,Arkansas St.,A,L,60,66,W,W,L,W,W,L,W,W,W,W,W,W,L,L,W,W,L,L,W,W
2013,1/5/13,Middle Tennessee,South Alabama,A,W,60,56,W,L,W,W,L,W,W,W,W,L,L,L,W,W,L,L,W,W,L,W
2013,1/10/13,Middle Tennessee,Florida Atlantic,H,W,62,52,L,W,W,L,W,W,W,W,L,W,L,W,W,L,L,L,W,L,W,W
2013,1/12/13,Middle Tennessee,Louisiana Monroe,A,W,66,57,W,W,L,W,W,W,W,L,W,W,L,L,W,L,L,L,W,L,W,L
2013,1/19/13,Middle Tennessee,Louisiana Lafayette,H,W,82,60,L,W,W,W,W,L,W,W,W,W,L,L,W,L,W,L,L,L,W,L
2013,1/26/13,Middle Tennessee,Western Kentucky,H,W,72,53,W,W,W,L,W,W,W,W,W,W,L,L,W,W,L,L,L,W,L,L
2013,1/31/13,Middle Tennessee,FIU,A,W,66,64,W,W,L,W,W,W,W,W,W,W,L,W,W,W,W,L,W,W,W,L
2013,2/2/13,Middle Tennessee,Florida Atlantic,A,W,73,56,W,L,W,W,W,W,W,W,W,W,L,W,W,L,W,W,L,L,L,W
2013,2/7/13,Middle Tennessee,Arkansas St.,H,W,73,60,L,W,W,W,W,W,W,W,W,W,W,W,W,L,L,W,L,W,W,W
2013,2/21/13,Middle Tennessee,South Alabama,H,W,85,50,W,W,W,W,W,W,W,W,W,W,W,L,W,W,W,L,W,W,W,W
2013,2/23/13,Middle Tennessee,Louisiana Monroe,H,W,87,46,W,W,W,W,W,W,W,W,W,W,L,L,L,L,L,L,L,W,L,L
2013,3/2/13,Middle Tennessee,Western Kentucky,A,W,70,62,W,W,W,W,W,W,W,W,W,W,L,L,W,W,L,L,L,W,W,W
2013,3/9/13,Middle Tennessee,Louisiana Lafayette,N,W,81,66,W,W,W,W,W,W,W,W,W,W,W,L,W,L,W,W,L,L,W,W
2013,3/10/13,Middle Tennessee,FIU,N,L,57,61,W,W,W,W,W,W,W,W,W,W,L,W,W,L,L,W,W,W,L,W
2013,12/29/12,Denver,Louisiana Tech,A,L,60,68,L,W,L,L,L,L,W,W,L,W,W,W,W,W,W,W,L,W,L,W
2013,12/31/12,Denver,UT Arlington,A,W,50,35,W,L,L,L,L,W,W,L,W,L,L,W,L,W,W,L,W,W,L,W
2013,1/3/13,Denver,Texas St.,H,W,64,53,L,L,L,L,W,W,L,W,L,W,L,W,L,L,W,L,L,L,L,L
2013,1/6/13,Denver,UTSA,H,W,75,50,L,L,L,W,W,L,W,L,W,W,W,L,L,L,L,L,W,L,L,L
2013,1/10/13,Denver,Idaho,A,W,55,49,L,L,W,W,L,W,L,W,W,W,W,L,L,W,W,L,L,W,W,L
2013,1/12/13,Denver,Seattle,A,W,64,51,L,W,W,L,W,L,W,W,W,W,L,W,L,L,W,W,L,L,L,L
2013,1/17/13,Denver,San Jose St.,H,W,73,37,W,W,L,W,L,W,W,W,W,W,W,W,L,L,W,W,L,W,W,L
2013,1/19/13,Denver,Utah St.,H,W,68,57,W,L,W,L,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,L
2013,1/23/13,Denver,New Mexico St.,A,L,42,53,L,W,L,W,W,W,W,W,W,W,L,W,L,L,W,W,W,W,W,W
2013,1/31/13,Denver,UTSA,A,W,71,57,W,L,W,W,W,W,W,W,W,L,W,L,L,L,L,L,L,L,W,L
2013,2/2/13,Denver,Texas St.,A,W,79,64,L,W,W,W,W,W,W,W,L,W,L,L,L,L,L,L,W,W,W,L
2013,2/7/13,Denver,Seattle,H,W,72,55,W,W,W,W,W,W,W,L,W,W,L,L,L,L,W,L,L,L,W,L
2013,2/9/13,Denver,Idaho,H,W,74,58,W,W,W,W,W,W,L,W,W,W,L,L,L,L,W,L,W,L,W,L
2013,2/14/13,Denver,Utah St.,A,W,63,60,W,W,W,W,W,L,W,W,W,W,W,W,W,L,L,L,L,W,W,W
2013,2/16/13,Denver,San Jose St.,A,W,62,41,W,W,W,W,L,W,W,W,W,W,W,L,L,L,L,L,L,L,L,L
2013,2/23/13,Denver,Northern Iowa,A,W,63,57,W,W,W,L,W,W,W,W,W,W,W,W,L,L,W,W,W,W,W,W
2013,3/2/13,Denver,New Mexico St.,H,W,66,60,W,W,L,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,L,W
2013,3/7/13,Denver,UT Arlington,H,W,84,55,W,L,W,W,W,W,W,W,W,W,W,L,W,W,W,W,W,L,W,W
2013,3/9/13,Denver,Louisiana Tech,H,W,78,54,L,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,L
2013,3/14/13,Denver,Texas St.,N,L,68,72,W,W,W,W,W,W,W,W,W,W,L,L,L,L,W,W,L,L,W,W
2013,3/21/13,Denver,Maryland,A,L,52,62,W,W,W,W,W,W,W,W,L,W,L,W,L,W,L,L,W,W,L,W
2013,12/13/12,Troy,Alabama St.,A,L,68,74,W,L,L,W,W,W,L,L,L,L,L,W,L,L,L,L,L,L,L,L
