year,date,team1,team2,team1_venue,team1_outcome,team1_score,team2_score
2013,11/9/12,Pepperdine,Cal St. Northridge,A,L,75,81
2013,11/13/12,Pepperdine,California,A,L,62,79
2013,11/16/12,Pepperdine,Washington St.,H,W,58,56
2013,11/20/12,Pepperdine,Houston Christian,A,W,57,53
2013,11/24/12,Pepperdine,UC Irvine,H,W,72,62
2013,11/29/12,Pepperdine,Montana St.,A,W,76,66
2013,12/1/12,Pepperdine,Utah Valley,A,L,63,67
2013,12/5/12,Pepperdine,UC Riverside,H,W,62,40
2013,12/16/12,Pepperdine,Central Michigan,H,L,77,80
2013,12/19/12,Pepperdine,Alabama St.,N,W,66,58
2013,12/20/12,Pepperdine,Tulane,A,L,54,69
2013,1/3/13,Pepperdine,Gonzaga,H,L,62,78
2013,1/5/13,Pepperdine,Portland,H,W,54,47
2013,1/10/13,Pepperdine,BYU,A,L,51,76
2013,1/12/13,Pepperdine,San Diego,H,L,50,62
2013,1/19/13,Pepperdine,Santa Clara,H,L,76,83
2013,1/24/13,Pepperdine,Loyola Marymount,A,W,60,57
2013,1/26/13,Pepperdine,Saint Mary's,A,L,72,84
2013,1/31/13,Pepperdine,BYU,H,L,61,63
2013,2/2/13,Pepperdine,San Francisco,H,L,78,86
2013,2/7/13,Pepperdine,Gonzaga,A,L,56,82
2013,2/9/13,Pepperdine,Portland,A,W,72,68
2013,2/14/13,Pepperdine,Loyola Marymount,H,W,52,50
2013,2/16/13,Pepperdine,Santa Clara,A,L,60,70
2013,2/23/13,Pepperdine,San Francisco,A,L,58,64
2013,2/27/13,Pepperdine,Saint Mary's,H,L,48,87
2013,3/2/13,Pepperdine,San Diego,A,L,69,76
2013,3/7/13,Pepperdine,San Diego,N,L,59,62
2013,11/9/12,Middle Tennessee,Alabama St.,H,W,97,53
2013,11/13/12,Middle Tennessee,Savannah St.,A,W,58,55
2013,11/18/12,Middle Tennessee,Florida,A,L,45,66
2013,11/20/12,Middle Tennessee,UCF,A,W,75,61
2013,11/24/12,Middle Tennessee,Texas Southern,H,W,79,52
2013,11/29/12,Middle Tennessee,Louisiana Lafayette,A,W,72,58
2013,12/2/12,Middle Tennessee,Akron,A,L,77,82
2013,12/5/12,Middle Tennessee,UAB,H,W,84,64
2013,12/8/12,Middle Tennessee,Mississippi,H,W,65,62
2013,12/13/12,Middle Tennessee,Belmont,A,L,49,64
2013,12/18/12,Middle Tennessee,Tennessee St.,H,W,77,48
2013,12/21/12,Middle Tennessee,Vanderbilt,N,W,56,52
2013,12/29/12,Middle Tennessee,FIU,H,W,69,52
2013,12/31/12,Middle Tennessee,North Texas,H,W,75,57
2013,1/3/13,Middle Tennessee,Arkansas St.,A,L,60,66
2013,1/5/13,Middle Tennessee,South Alabama,A,W,60,56
